,Full Period,Water Year 2022,Water Year 2023,Warm Season 2022,Cold Season 2022,Warm Season 2023,Cold Season 2023
splash_pluvio,-7.000000000000001,-5.1,-8.5,-14.2,6.0,,-4.3
splash_ld_uncorrected,16.5,18.2,15.5,-16.900000000000002,33.7,,20.1
splash_ld_holyroyd,-9.700000000000001,-5.8999999999999995,-13.100000000000001,-14.799999999999999,0.2,,-11.899999999999999
splash_ld_brandes,-12.7,-8.6,-16.3,-15.299999999999999,-3.5999999999999996,,-15.5
splash_ld_heymsfield,-56.599999999999994,-47.5,-65.7,-28.199999999999996,-58.699999999999996,,-69.39999999999999
precip_type,146.6,142.79999999999998,150.0,94.3,153.1,,153.29999999999998
sos_SWE_p1,,,-28.299999999999997,,,,-28.299999999999997
sos_SWE_p2,,,-43.5,,,,-43.5
sos_SWE_p3,,,-46.300000000000004,,,,-46.300000000000004
sos_SWE_p4,,,-32.5,,,,-32.5
sail_squire_m2009_1,-123.6,-79.9,-159.4,,-79.9,,-159.4
sail_squire_m2009_2,-145.79999999999998,-110.7,-172.6,,-110.7,,-172.6
sail_squire_ws88diw,-66.5,-32.300000000000004,-94.1,,-32.300000000000004,,-94.1
sail_squire_ws2012,-113.9,-82.8,-137.5,,-82.8,,-137.5
ERA5-Land,9.2,19.400000000000002,-0.6,32.300000000000004,4.2,61.4,-2.5
PRISM,-10.8,-2.9000000000000004,-17.8,9.8,-11.899999999999999,31.900000000000002,-20.4
